short_descriptions,assignment_groups
IE  G M365 Gold Licence Bundle  2 Users ,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
IE  Block sender  ref INC0844569,G SNOW EXT ATOS IS MAILING ADMINS
 UNS global zone map administration changes to automounter map autohpcgrid  for sasscratcht and sasscratchd,GBL-WTI-AHS UNIX L1
Please reboot the server AMRSOMW1552,GBL-WTI-AHS WINTEL L1
concur password issue  advised to call concur,Service Desk - Non Sales
APO DP Planning Area BackupBW ExtractPromaxBaselineW3EU  is cancelled on 3,PZC-FJ-ServiceDesk
Process chain failure on 08102019BWP,PZC-FJ-ServiceDesk
Hotswap ・Surface Book 2nd gen ・unable to remain on network,Deskside Carnegie
 Remove Unix access for karthm03,GBL-WTI-AHS UNIX L1
issue with sap and Helo sign in,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
accesses to bsx02060,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
eLearn account locked,Service Desk - Non Sales
Credo AppCara Plugin download on Citrix environment,Deskside Carnegie
veeva engage download  ,Service Desk - Non Sales
Problems with VNC connection to oulnxc59emeansnnetnet,SD_1stL_SD-UC_NSN_ENG_PH
Network share Access to former CW ,Service Desk - GAM
Patching Issue PARTIALLY Win2012 629200 Result for EMAROMW006,GBL-WTI-AHS WINTEL L1
CZ  Add domain to WhiteList ,G SNOW EXT ATOS IS MAILING ADMINS
Request for OPDC Mailbox access for user Ankita Sunilkumar and Devanshi Shastri Refer to ticket INC0346091,Service Desk - Non Sales
NOIG105LKGen  Items marked as automatic set exception,SD_1stL_SD-UC_NSN_ENG_PH
Error Message  E Learn,Service Desk - Non Sales
EMANBWW010 No BigFix Client Found but PING OK  prep for patching RFC 1394331 Dec 22,GBL-WTI-AHS WINTEL L1
Phone cases for Turkey,I-Buy Process Support
Sending an email iRep,Service Desk - Sales All
warehouse issue  dispatch note issue  error in SAP  IMPORTANT,PZC-FJ-ServiceDesk
Please remove the warning for externale mail from bambi domain please see attached communication for approvals,G SNOW EXT ATOS IS MAILING ADMINS
PAC tool will not send token for login,Service Desk - Non Sales
Hardware  PC is not power on,SD_1stL_SD-UC_NSN_ENG_PH
Patching Issue PARTIALLY Win2003 523790 Result for CEWLROCKS01,GBL-WTI-AHS WINTEL L1
Account Locked  Help Needed,Service Desk - Non Sales
SRP account password issue,SD_UC_CoCare_NSN_GL
SMP deletion not possible,SD_1stL_SD-UC_NSN_ENG_PH
PL  Create address group,G SNOW PL SERVICE DESK
SAP Shipping Notification number missing,PZC-FJ-ServiceDesk
Please delete all parent roles of user MAVALENC at personal level manually,SD_UC_CoCare_NSN_GL
DP issueFailures for AMER5a  BS amrdrml059 GP 2200Start CT gsun662  NO BACKUP,GBL-WTI-AHS UNIX L1
RP NSAUNIX Request20191210190324970,GBL-WTI-AHS UNIX L1
OSS 397964  2020  open connection,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Please provide MS Office 365 Licence E3 to user RFQ02418  ExtGalinaIvatcchelleniccom,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
FR  Software  One Note Not Synching With One Drive,SD_1stL_SD-UC_NSN_ENG_PH
Hardware  Keyboard issue,SD_1stL_SD-UC_NSN_ENG_PH
File Service  Access to HomeDrive nsnintraeefsFSMCHP10184 doesnt work,SD_1stL_SD-UC_NSN_ENG_PH
TIME DIFFERENCE BETWEEN LOCAL TIME AND S,PZC-FJ-ServiceDesk
Create online archive ,G SNOW RU SERVICE DESK
Nokia Invoice Creator role ,I-Buy Process Support
BSO  COIN request for user,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Alliance Not Working,SD_UC_CoCare_NSN_GL
Cant login to Veeva Sync,Service Desk - Non Sales
Unable to sign into Skype,Service Desk - Non Sales
Could not change China employee 31005006 Zhou Cheng s job role in P24,SD_UC_CoCare_NSN_GL
CDB Please check My Tasks list issue ,SD_1stL_SD-UC_NSN_ENG_PH
DP Issue  Failure for amrsomw457,GBL-WTI-AHS WINTEL L1
IT  Add alias in users email,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
EG  ISIS Egypt  Updating manager on Vacation isis tool,SD_1stL_SD-UC_NSN_ENG_PH
Failed to access VNC server hzlnxc15chinansnnetnet,SD_1stL_SD-UC_NSN_ENG_PH
emaromw006emeapfizercom Down Intel,GBL-WTI-AHS WINTEL L1
Phone  Port Out from Corporate to Personal,SD_1stL_SD-UC_NSN_ENG_PH
BSO  Provide CS roles for user,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
PL whitelist client ,G SNOW PL SERVICE DESK
ERROR LOG SATI  0002  P20,SD_1stL_SD-UC_NSN_ENG_PH
fNokia  Hardware Laptop  wireless connectivity failure after upgrading to Win10,SD_1stL_SD-UC_NSN_ENG_PH
CZ       SSF to blockunblock AP invoices,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Create new security group TL Exec RU,G SNOW RU SERVICE DESK
RP NSAUNIX Request20191121061512919,GBL-WTI-AHS UNIX L1
Javelin download and access,Service Desk - Non Sales
Adobe Issue with License,Service Desk - Non Sales
Move to Approved  OLCS entitlement Failed  20200306000113,SD_1stL_SD-UC_NSN_ENG_PH
BI SLOBs report not showing forecast for all SKUs,PZC-FJ-ServiceDesk
amrdrml471pfizercomLogMonitorUnixLinux Networking Errors Escalate and Investigate Issues ASAPunixsyslog PFEUnixNetworkingErrors Linux,GBL-WTI-AHS UNIX L1
Access to SWPReviewCSRPKDOPC 41061,Service Desk - GAM
IT  new Cisco Anyconnect VPN certificate ,G SNOW IT SERVICE DESK
How public holidays are counted in NCT as that time shouldn’t be counted in milestones,SD_1stL_SD-UC_NSN_ENG_PH
SAP BPP DOP receiving problem,SD_UC_CoCare_NSN_GL
User access modify,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Invoice issue after outbound orders crea,PZC-FJ-ServiceDesk
Please join PreDR meeting for  GLOBAL LIMS PGS Production application on 12AUG2019 0930 AM EDT  1030 Am EDT,GBL-WTI-AHS UNIX L1
PL  Approval access,G SNOW PL SERVICE DESK
related to testing new feature in RGM Tools,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
CZadd roles based on INC0831636,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
IE  Restore completely deleted email,G SNOW EXT ATOS IS MAILING ADMINS
Request for access to Visio,Service Desk - Non Sales
Unable to login to Citrix  password expired,Service Desk - Non Sales
Hardware Motherboard Replacement,SD_1stL_SD-UC_NSN_ENG_PH
Unable to connect to mobile hotspot,Service Desk - Non Sales
Unable to login in Elearning portal,Service Desk - Non Sales
Proactive Outreach Compliance  Security Software dashboard,Deskside Carnegie
BS002006  SSF issue,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Issues with EXL Desktop ,Service Desk - Non Sales
Access to Snapshot,G SNOW PL SERVICE DESK
URGENT Cannot access Oracle ticketing tool,SD_1stL_SD-UC_NSN_ENG_PH
IT  O365 Mailbox creation,G SNOW IT SERVICE DESK
IAMITIM ALU  BPP profiles update  Mass request created for BPP due to Integra maintenance,SD_UC_CoCare_NSN_GL
SAP logon Issue,SD_UC_CoCare_NSN_GL
SRM Issue delete shc 1003197814,SD_UC_CoCare_NSN_GL
RC9307 in awayiting processing,I-Buy Process Support
User removal from email groups,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Password  cannot reset,Deskside Carnegie
Business role correction  RF127079 Mariya Ofitserova,G SNOW RU SERVICE DESK
emaedcw499emeapfizercom cpqDaAccel Intel,GBL-WTI-AHS WINTEL L1
ENHReceiving EDI invoices  Tradex  A19451943   9000009234 ,PZC-FJ-ServiceDesk
Replace name of Michael Raven to Mike Raven,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
BIOS Password hyper V disabled,SD_1stL_SD-UC_NSN_ENG_PH
GR  Access to Quality environment  hs3,G SNOW GR SERVICE DESK
DP issue  Failures for EMEA0  BS emadswava001 GP avamardirectWin2k3 CT dswintq01,GBL-WTI-AHS WINTEL L1
Reboot servers COREMAEMP04  COREMAEMP05,GBL-WTI-AHS WINTEL L1
unable to create meeting in iPad,Service Desk - Non Sales
Adobe Subscription Expired Error,Deskside Carnegie
System Administrator can have NSA account removed from local admin group for NDHAMRCLS12 SmartLab Servers,GBL-WTI-AHS WINTEL L1
RUN TIME ERROR,PZC-FJ-ServiceDesk
 FR  Software centre  Software missing ,SD_1stL_SD-UC_NSN_ENG_PH
gerrite1extnetnokiacom server responds in 500 PERIODICALLY,SD_1stL_SD-UC_NSN_ENG_PH
CZ  acces to ShortrecCZSRPUsers ,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Shared mailbox in outlook is not updating,Deskside Carnegie
Camera died again,Deskside Carnegie
Office 365     Outlook  Unread mail  new folder with 1600 mails  PersonMetadata,SD_1stL_SD-UC_NSN_ENG_PH
Unable to login into my cares account,SD_1stL_SD-UC_NSN_ENG_PH
GR  CTI Call Forwarding  URGENT,G SNOW GR SERVICE DESK
Business role correction  RU410074 Mariya Chizhova,G SNOW RU SERVICE DESK
SAC access for Daksh Fractal,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Missing Products For Tasmanet Pty Ltd,SD_1stL_SD-UC_NSN_ENG_PH
PL  remove user from SM1,G SNOW PL SERVICE DESK
CZ  Email Threats  Nielsen Brandbank Updates updatesnielsenemailcom,G SNOW EXT ATOS IS MAILING ADMINS
MS Access auto installation caused error,Service Desk - Non Sales
VPN  Remote Access  Connection Fault,SD_1stL_SD-UC_NSN_ENG_PH
Jabber Phone services   not working,SD_1stL_SD-UC_NSN_ENG_PH
Permission issue on home directory in AMRNDHL760,GBL-WTI-AHS UNIX L1
Red team trainingconcur assistance,Service Desk - Non Sales
SNMPAgentaumulctx08pfizercom NotResponding Intel,GBL-WTI-AHS WINTEL L1
Rafael Martinez Valera requests access to  Treasury Operations treasuryoperationscchelleniccom,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
ovm2zone02pfizercomMultiple copyenvdailysh PIDs Detected Escalate and Investigate Issues ASAPunixlogpfizerflasharchive PFEUnixFlashArchiveError Solaris Zone,GBL-WTI-AHS UNIX L1
Server AMRTOLW014 is not pingable,GBL-WTI-AHS WINTEL L1
APWNOTES01 server Ping is not working We are getting timed out error,GBL-WTI-AHS WINTEL L1
NIMS Cant change phone number in NIMS,SD_UC_CoCare_NSN_GL
Concur sign on blocked,Service Desk - Non Sales
failed to connect to Cpy DB,SD_UC_CoCare_NSN_GL
IT  EMail Threat  Subject Enterprise Cloud for Dummies  block sender  INC0852936,G SNOW IT SERVICE DESK
BSO  SSF Inbox in outlook,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
SvO reprocessed to be checked what happened with the new IDOCs triggered,SD_1stL_SD-UC_NSN_ENG_PH
Outlook Issue for JavvajiCW Rameshwar 36066 RameshwarJavvajiCWotsukauscom,Service Desk - Non Sales
Please add to the GPVGlobal PV  Astex Team,Service Desk - GAM
Citrix Desktop monitor split,Service Desk - Non Sales
Receipt ERP Push Failed ,I-Buy Process Support
Slow data extraction for Ericsson Zambia10173181232,SD_UC_CoCare_NSN_GL
Provide VPN access for an external Support consultant,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
PL AP20502 Release Strategy update ,G SNOW PL SERVICE DESK
FW LafontantCW Dereck 19227 has invited you to Global Regulatory Affairs,Service Desk - Non Sales
Call Plan cannot be viewed or Downloaded ,Service Desk - Sales All
Support Portal extgfisivavanishankarsncffr SSO41 error,SD_1stL_SD-UC_NSN_ENG_PH
add AD groups,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Close 13  Access request in SAP,PZC-FJ-ServiceDesk
Move CAPEX200181 to next step step 6,SD_1stL_SD-UC_NSN_ENG_PH
Need outlook in phone,Deskside Carnegie
iPad  new iPad setup,Service Desk - Non Sales
P13 system connections,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
BSO  Keep old email,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
TBEX in cuvl3401 portal,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Please add address LTS ltsltslveu  to whitelist,G SNOW RU SERVICE DESK
headset for ipad  general question,Service Desk - Non Sales
need to change HCPs last name,Service Desk - Sales All
Email tuning and backup,SD_1stL_SD-UC_NSN_ENG_PH
RE Working from home equipment,Service Desk - Non Sales
Laptop is not booting up,Service Desk - Non Sales
Blue tooth not available,SD_1stL_SD-UC_NSN_ENG_PH
Question regarding teams,Service Desk - Non Sales
unable to sync in veeva ,Service Desk - Sales All
Create new security group TL NW,G SNOW RU SERVICE DESK
Acrobat DC pro download,Service Desk - Non Sales
Not able to login to Citrix  account is locked out,Service Desk - Non Sales
Red team trainingjavelin application,Service Desk - Non Sales
User out of validity period for ECP acce,PZC-FJ-ServiceDesk
New MS Account,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
CZ  access to sap,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
ipad connection to laptop,Service Desk - Non Sales
Cisco AnyConnect VPN usage error,SD_1stL_SD-UC_NSN_ENG_PH
IT  Email threat subjectTe ha enviado un Factura Digital S170420,G SNOW IT SERVICE DESK
 Not able to login beling52chinansnnetnet,SD_UC_CoCare_NSN_GL
eLearn login issues ,Service Desk - Non Sales
CCR Monitoring  Purchase Requisition Not Active in IMNGR1,PZC-FJ-ServiceDesk
Sales order are Not Active IM Plant NZ20,PZC-FJ-ServiceDesk
SAP REQUEST FOR GH10 ACCESS A3491433 8000004699 ,PZC-FJ-ServiceDesk
printer is not working ,Service Desk - Non Sales
Laptop  Camera Is Not Working ,SD_1stL_SD-UC_NSN_ENG_PH
aumulctx07pfizercom Down Intel,GBL-WTI-AHS WINTEL L1
return of users assets ,Service Desk - Non Sales
CMC J Drive Revoke All Form Approved  Yamamoto Fumiotsukajp,Service Desk - GAM
aspichs004pfizercom ProcessThe automountd Process has Stopped  Escalate ASAP Unix,GBL-WTI-AHS UNIX L1
 ALFA Issue in accessing P2P Performance Management Tool,SD_UC_CoCare_NSN_GL
User wants to mirror her iPad to her laptop,Service Desk - Non Sales
Need additional information on UC4 job for STBPGRA2 database for PDM,GBL-WTI-AHS UNIX L1
GR  BW FSM110 non volume Targets upload  GR  JULY 20,G SNOW GR SERVICE DESK
GR  New Routes GRPL,G SNOW GR SERVICE DESK
amrsoml509pfizercomLogMonitorUnixLinux Networking Errors Escalate and Investigate Issues ASAPunixsyslog PFEUnixNetworkingErrors Linux,GBL-WTI-AHS UNIX L1
PL  User globally locked in SAP ,G SNOW PL SERVICE DESK
CH  Add User CHQ09268 to AD Group,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
RP NSAUNIX Request20200128042155797,GBL-WTI-AHS UNIX L1
user is not able to access TOAD desktop in citrix,Service Desk - Non Sales
Business role correction  RU503364 Natalya Zaharova,G SNOW RU SERVICE DESK
Requester roles for anshari1ansharinokiacom for Indonesia,I-Buy Process Support
IE  Block Sender  Domain,G SNOW EXT ATOS IS MAILING ADMINS
RP NSAUNIX Request20190812025934323,GBL-WTI-AHS UNIX L1
CZ  Mailbox creation ,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
SNMPAgentusgasw5301qhospiracorp NotResponding Intel VM Guest,GBL-WTI-AHS WINTEL L1
BSO  Add roles,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
User unable to log in,Service Desk - Non Sales
Old iPad question,Service Desk - Non Sales
Stratus Issue Deposit  a2803324 for Site ID 16023 for server  GVWEMP2P01,GBL-WTI-AHS WINTEL L1
failure of connection to citrixotsukauscom,Service Desk - Non Sales
Adjust ServiceNow group G SNOW EXT ATOS Hybris Agile,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
DP ISSUE Failures for AMER5  BS amrrckava001 GP hpdrmf01 CT hpdrmf01,GBL-WTI-AHS WINTEL L1
Incident 6372632019  ABAP Dump DYNPROSENDINBACKGROUND  Request for Opening,PZC-FJ-ServiceDesk
Unable to access,Service Desk - Non Sales
prtpgmbmsapfizercom cpqDaDrvStatusChange Intel,GBL-WTI-AHS WINTEL L1
Trying to schedule Skype meeting on iPad,Service Desk - Non Sales
Remove Unix access for karuss02,GBL-WTI-AHS UNIX L1
MS teams please activate leave captions and translation features,G SNOW EXT ATOS IS MAILING ADMINS
Seems to be some issue with auto mounter on the node amrndhl762,GBL-WTI-AHS UNIX L1
Invoice Error  SBHATT,SD_UC_CoCare_NSN_GL
Confirm your email address,Service Desk - Non Sales
RP NSAUNIX Request20191210191033975,GBL-WTI-AHS UNIX L1
FW Access to shared drive to Angelo,Service Desk - GAM
BSO  assing access to user ,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
EE Jira  Access request,SD_1stL_SD-UC_NSN_ENG_PH
CARES ARERR 90,SD_UC_CoCare_NSN_GL
GR  Issue with Email CRITICAL,G SNOW GR SERVICE DESK
NokiaMeetings   Audio Quality Issue From Users End,SD_1stL_SD-UC_NSN_ENG_PH
Shared Drive Access Margarita Quashie,Service Desk - GAM
DP Issue THREE STRIKE  Failures for AMER5a  BS amrdrml059 GP 0300Start CT amrndhs311  NO BACKUP,GBL-WTI-AHS UNIX L1
treatNOW Call Issue  Eligibility,Service Desk - Sales All
Problem printing PDF files from Chrome Viewer,Deskside Carnegie
Please reset MFA for users account AleksandrMakurincchelleniccom ,G SNOW RU SERVICE DESK
The password change tool is not identifying the current password changed through Microsoft Profile,SD_1stL_SD-UC_NSN_ENG_PH
Nokia Asset Manager BPP role assignment ,I-Buy Process Support
access card in any printer its reflecting someones name I,SD_1stL_SD-UC_NSN_ENG_PH
CCR Monitoring  Past Preq for KE10,PZC-FJ-ServiceDesk
amrsoml094pfizercomLogMonitorUnixLinux Networking Errors Escalate and Investigate Issues ASAPunixsyslog PFEUnixNetworkingErrors Linux,GBL-WTI-AHS UNIX L1
Unable to log into Citrix,Service Desk - Non Sales
Nokia Procurement Contact Manager role is needed,I-Buy Process Support
Blacklist domain in continuation of INC0903449 and RITM1020556,G SNOW EXT ATOS IS MAILING ADMINS
GR  User EXQ02221  Reset Initial password in S02,G SNOW GR SERVICE DESK
Polycom in conference room drops calls after 1 hr need assistance to configure replacement Polycom,SD_1stL_SD-UC_NSN_ENG_PH
emarinw009pfizercom Down Intel,GBL-WTI-AHS WINTEL L1
Jabber Others  Removing Personal Number in Jabber,SD_1stL_SD-UC_NSN_ENG_PH
Jabber Phone services  No phone services available,SD_1stL_SD-UC_NSN_ENG_PH
Need E5 Skype for Business License,Service Desk - GAM
Printer printing slowly,Service Desk - Non Sales
user is not able to print from iPad and laptop,Service Desk - Non Sales
new user access for Planon,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
New Pharmacy for affiliation,Service Desk - Sales All
Cration of shared mailbox,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Windows configuration issue,SD_1stL_SD-UC_NSN_ENG_PH
Slow Tranfser To and From Customers,SD_1stL_SD-UC_NSN_ENG_PH
Cant send Engage meeting,Service Desk - Sales All
Check the partitions mounted to AMRSOMS025 server,GBL-WTI-AHS UNIX L1
Otsuka access questions,Service Desk - Non Sales
Cant apply a leave,SD_1stL_SD-UC_NSN_ENG_PH
Citrix not working correctly,SD_UC_CoCare_NSN_GL
SCH9000009637  INCIntangibles write off,PZC-FJ-ServiceDesk
CHG0150420 not delivered AccInd 98,SD_1stL_SD-UC_NSN_ENG_PH
Jabber Other  Configure Jabber server,SD_UC_CoCare_NSN_GL
Question regarding the teams meeting,Service Desk - Non Sales
CZ  SAP transaction access for CZ015714,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
RP NSAUNIX Request20191204033246998,GBL-WTI-AHS UNIX L1
Please reset MFA for users account TatianaSigutinacchelleniccom ,G SNOW RU SERVICE DESK
BIOS password and Boot option change assistance,SD_1stL_SD-UC_NSN_ENG_PH
UNIX Server  Clear space for inbanufmtbld03inalcatellucentcom,SD_1stL_SD-UC_NSN_ENG_PH
fNokia  Support Portal  ashishkumarkshindevodafonecom SSO41 error,SD_1stL_SD-UC_NSN_ENG_PH
CDB SAP Contract Import Failed  CDB STP12964356396,SD_1stL_SD-UC_NSN_ENG_PH
IPASS  app,Service Desk - Non Sales
RE CREDO issue INC0352104 ,Service Desk - Non Sales
create new user in SAC,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
RE INC0344008  Citrix login errorevetta18167,Service Desk - Non Sales
Jabber  PC  Phone Services Not connecting ,SD_1stL_SD-UC_NSN_ENG_PH
SAP login Isuue,SD_UC_CoCare_NSN_GL
elearn access from ipad ,Service Desk - Non Sales
intisa6000pfizercom Down Intel,GBL-WTI-AHS WINTEL L1
extend and enable user,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Add user to shared mailboxes Sales Analysis and Demand Planning,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
change to 2FA number ,Service Desk - Non Sales
SNMPAgentemaistw012emeapfizercom NotResponding Intel,GBL-WTI-AHS WINTEL L1
Unable to boot up machine,SD_1stL_SD-UC_NSN_ENG_PH
